20240729-01:36:20 Train Epoch: 70/80 ...
20240729-01:36:21 training: 512 / 105000
20240729-01:36:21 training: 1024 / 105000
20240729-01:36:22 training: 1536 / 105000
20240729-01:36:22 training: 2048 / 105000
20240729-01:36:22 training: 2560 / 105000
20240729-01:36:22 training: 3072 / 105000
20240729-01:36:22 training: 3584 / 105000
20240729-01:36:22 training: 4096 / 105000
20240729-01:36:23 training: 4608 / 105000
20240729-01:36:23 training: 5120 / 105000
20240729-01:36:23 training: 5632 / 105000
20240729-01:36:23 training: 6144 / 105000
20240729-01:36:23 training: 6656 / 105000
20240729-01:36:24 training: 7168 / 105000
20240729-01:36:24 training: 7680 / 105000
20240729-01:36:24 training: 8192 / 105000
20240729-01:36:24 training: 8704 / 105000
20240729-01:36:24 training: 9216 / 105000
20240729-01:36:24 training: 9728 / 105000
20240729-01:36:25 training: 10240 / 105000
20240729-01:36:25 training: 10752 / 105000
20240729-01:36:25 training: 11264 / 105000
20240729-01:36:25 training: 11776 / 105000
20240729-01:36:25 training: 12288 / 105000
20240729-01:36:26 training: 12800 / 105000
20240729-01:36:26 training: 13312 / 105000
20240729-01:36:26 training: 13824 / 105000
20240729-01:36:26 training: 14336 / 105000
20240729-01:36:26 training: 14848 / 105000
20240729-01:36:26 training: 15360 / 105000
20240729-01:36:27 training: 15872 / 105000
20240729-01:36:27 training: 16384 / 105000
20240729-01:36:27 training: 16896 / 105000
20240729-01:36:27 training: 17408 / 105000
20240729-01:36:27 training: 17920 / 105000
20240729-01:36:28 training: 18432 / 105000
20240729-01:36:28 training: 18944 / 105000
20240729-01:36:28 training: 19456 / 105000
20240729-01:36:28 training: 19968 / 105000
20240729-01:36:28 training: 20480 / 105000
20240729-01:36:28 training: 20992 / 105000
20240729-01:36:29 training: 21504 / 105000
20240729-01:36:29 training: 22016 / 105000
20240729-01:36:29 training: 22528 / 105000
20240729-01:36:29 training: 23040 / 105000
20240729-01:36:29 training: 23552 / 105000
20240729-01:36:30 training: 24064 / 105000
20240729-01:36:30 training: 24576 / 105000
20240729-01:36:30 training: 25088 / 105000
20240729-01:36:30 training: 25600 / 105000
20240729-01:36:30 training: 26112 / 105000
