20240729-12:32:51 Train Epoch: 70/90 ...
20240729-12:32:51 training: 128 / 5000
20240729-12:32:51 training: 256 / 5000
20240729-12:32:51 training: 384 / 5000
20240729-12:32:52 training: 512 / 5000
20240729-12:32:52 training: 640 / 5000
20240729-12:32:52 training: 768 / 5000
20240729-12:32:52 training: 896 / 5000
20240729-12:32:52 training: 1024 / 5000
20240729-12:32:52 training: 1152 / 5000
20240729-12:32:52 training: 1280 / 5000
20240729-12:32:52 training: 1408 / 5000
20240729-12:32:52 training: 1536 / 5000
20240729-12:32:52 training: 1664 / 5000
20240729-12:32:52 training: 1792 / 5000
20240729-12:32:52 training: 1920 / 5000
20240729-12:32:52 training: 2048 / 5000
20240729-12:32:52 training: 2176 / 5000
20240729-12:32:52 training: 2304 / 5000
20240729-12:32:52 training: 2432 / 5000
20240729-12:32:52 training: 2560 / 5000
20240729-12:32:52 training: 2688 / 5000
20240729-12:32:52 training: 2816 / 5000
20240729-12:32:52 training: 2944 / 5000
20240729-12:32:52 training: 3072 / 5000
20240729-12:32:52 training: 3200 / 5000
20240729-12:32:52 training: 3328 / 5000
20240729-12:32:52 training: 3456 / 5000
20240729-12:32:52 training: 3584 / 5000
20240729-12:32:52 training: 3712 / 5000
20240729-12:32:53 training: 3840 / 5000
20240729-12:32:53 training: 3968 / 5000
20240729-12:32:53 training: 4096 / 5000
20240729-12:32:53 training: 4224 / 5000
20240729-12:32:53 training: 4352 / 5000
20240729-12:32:53 training: 4480 / 5000
20240729-12:32:53 training: 4608 / 5000
20240729-12:32:53 training: 4736 / 5000
20240729-12:32:53 training: 4864 / 5000
20240729-12:32:53 training: 4992 / 5000
20240729-12:32:53 training: 5000 / 5000
20240729-12:32:53     total_loss: 25.7167 time: 0m 2s
20240729-12:32:53 Test Epoch: 70 ...
20240729-12:33:12     ave: 98.4500
20240729-12:33:12 Saving checkpoint: 70
20240729-12:33:12 Train Epoch: 71/90 ...
20240729-12:33:13 training: 128 / 5000
20240729-12:33:13 training: 256 / 5000
20240729-12:33:13 training: 384 / 5000
20240729-12:33:13 training: 512 / 5000
20240729-12:33:13 training: 640 / 5000
20240729-12:33:13 training: 768 / 5000
20240729-12:33:13 training: 896 / 5000
20240729-12:33:13 training: 1024 / 5000
20240729-12:33:13 training: 1152 / 5000
20240729-12:33:13 training: 1280 / 5000
20240729-12:33:13 training: 1408 / 5000
20240729-12:33:13 training: 1536 / 5000
20240729-12:33:13 training: 1664 / 5000
20240729-12:33:13 training: 1792 / 5000
20240729-12:33:13 training: 1920 / 5000
20240729-12:33:13 training: 2048 / 5000
20240729-12:33:13 training: 2176 / 5000
20240729-12:33:14 training: 2304 / 5000
20240729-12:33:14 training: 2432 / 5000
20240729-12:33:14 training: 2560 / 5000
20240729-12:33:14 training: 2688 / 5000
20240729-12:33:14 training: 2816 / 5000
20240729-12:33:14 training: 2944 / 5000
20240729-12:33:14 training: 3072 / 5000
20240729-12:33:14 training: 3200 / 5000
20240729-12:33:14 training: 3328 / 5000
20240729-12:33:14 training: 3456 / 5000
20240729-12:33:14 training: 3584 / 5000
20240729-12:33:14 training: 3712 / 5000
20240729-12:33:14 training: 3840 / 5000
20240729-12:33:14 training: 3968 / 5000
20240729-12:33:14 training: 4096 / 5000
20240729-12:33:14 training: 4224 / 5000
20240729-12:33:14 training: 4352 / 5000
20240729-12:33:14 training: 4480 / 5000
20240729-12:33:14 training: 4608 / 5000
20240729-12:33:14 training: 4736 / 5000
20240729-12:33:14 training: 4864 / 5000
20240729-12:33:14 training: 4992 / 5000
20240729-12:33:14 training: 5000 / 5000
20240729-12:33:14     total_loss: 22.6413 time: 0m 2s
20240729-12:33:14 Saving checkpoint: 71
20240729-12:33:14 Train Epoch: 72/90 ...
20240729-12:33:15 training: 128 / 5000
20240729-12:33:15 training: 256 / 5000
20240729-12:33:15 training: 384 / 5000
20240729-12:33:15 training: 512 / 5000
20240729-12:33:15 training: 640 / 5000
20240729-12:33:15 training: 768 / 5000
20240729-12:33:15 training: 896 / 5000
20240729-12:33:15 training: 1024 / 5000
20240729-12:33:15 training: 1152 / 5000
20240729-12:33:15 training: 1280 / 5000
20240729-12:33:15 training: 1408 / 5000
20240729-12:33:15 training: 1536 / 5000
20240729-12:33:15 training: 1664 / 5000
20240729-12:33:15 training: 1792 / 5000
20240729-12:33:16 training: 1920 / 5000
20240729-12:33:16 training: 2048 / 5000
20240729-12:33:16 training: 2176 / 5000
20240729-12:33:16 training: 2304 / 5000
20240729-12:33:16 training: 2432 / 5000
20240729-12:33:16 training: 2560 / 5000
20240729-12:33:16 training: 2688 / 5000
20240729-12:33:16 training: 2816 / 5000
20240729-12:33:16 training: 2944 / 5000
20240729-12:33:16 training: 3072 / 5000
20240729-12:33:16 training: 3200 / 5000
20240729-12:33:16 training: 3328 / 5000
20240729-12:33:16 training: 3456 / 5000
20240729-12:33:16 training: 3584 / 5000
20240729-12:33:16 training: 3712 / 5000
20240729-12:33:16 training: 3840 / 5000
20240729-12:33:16 training: 3968 / 5000
20240729-12:33:16 training: 4096 / 5000
20240729-12:33:16 training: 4224 / 5000
20240729-12:33:16 training: 4352 / 5000
20240729-12:33:16 training: 4480 / 5000
20240729-12:33:16 training: 4608 / 5000
20240729-12:33:16 training: 4736 / 5000
20240729-12:33:16 training: 4864 / 5000
20240729-12:33:16 training: 4992 / 5000
20240729-12:33:16 training: 5000 / 5000
20240729-12:33:17     total_loss: 19.3959 time: 0m 2s
20240729-12:33:17 Saving checkpoint: 72
20240729-12:33:17 Train Epoch: 73/90 ...
20240729-12:33:17 training: 128 / 5000
20240729-12:33:17 training: 256 / 5000
20240729-12:33:17 training: 384 / 5000
20240729-12:33:17 training: 512 / 5000
20240729-12:33:17 training: 640 / 5000
20240729-12:33:17 training: 768 / 5000
20240729-12:33:17 training: 896 / 5000
20240729-12:33:17 training: 1024 / 5000
20240729-12:33:17 training: 1152 / 5000
20240729-12:33:17 training: 1280 / 5000
20240729-12:33:17 training: 1408 / 5000
20240729-12:33:18 training: 1536 / 5000
20240729-12:33:18 training: 1664 / 5000
20240729-12:33:18 training: 1792 / 5000
20240729-12:33:18 training: 1920 / 5000
20240729-12:33:18 training: 2048 / 5000
20240729-12:33:18 training: 2176 / 5000
20240729-12:33:18 training: 2304 / 5000
20240729-12:33:18 training: 2432 / 5000
20240729-12:33:18 training: 2560 / 5000
20240729-12:33:18 training: 2688 / 5000
20240729-12:33:18 training: 2816 / 5000
20240729-12:33:18 training: 2944 / 5000
20240729-12:33:18 training: 3072 / 5000
20240729-12:33:18 training: 3200 / 5000
20240729-12:33:18 training: 3328 / 5000
20240729-12:33:18 training: 3456 / 5000
20240729-12:33:18 training: 3584 / 5000
20240729-12:33:18 training: 3712 / 5000
20240729-12:33:18 training: 3840 / 5000
20240729-12:33:18 training: 3968 / 5000
20240729-12:33:18 training: 4096 / 5000
20240729-12:33:18 training: 4224 / 5000
