20240728-22:59:03 Train Epoch: 70/75 ...
20240728-23:00:16 training: 256 / 105000
20240728-23:00:27 training: 512 / 105000
20240728-23:00:37 training: 768 / 105000
20240728-23:00:45 training: 1024 / 105000
20240728-23:00:53 training: 1280 / 105000
20240728-23:01:01 training: 1536 / 105000
20240728-23:01:09 training: 1792 / 105000
20240728-23:01:17 training: 2048 / 105000
20240728-23:01:25 training: 2304 / 105000
20240728-23:01:33 training: 2560 / 105000
20240728-23:01:41 training: 2816 / 105000
20240728-23:01:50 training: 3072 / 105000
20240728-23:01:58 training: 3328 / 105000
20240728-23:02:06 training: 3584 / 105000
20240728-23:02:14 training: 3840 / 105000
20240728-23:02:22 training: 4096 / 105000
20240728-23:02:30 training: 4352 / 105000
20240728-23:02:38 training: 4608 / 105000
20240728-23:02:46 training: 4864 / 105000
20240728-23:02:54 training: 5120 / 105000
20240728-23:03:02 training: 5376 / 105000
20240728-23:03:10 training: 5632 / 105000
20240728-23:03:19 training: 5888 / 105000
20240728-23:03:27 training: 6144 / 105000
20240728-23:03:35 training: 6400 / 105000
20240728-23:03:43 training: 6656 / 105000
20240728-23:03:51 training: 6912 / 105000
20240728-23:03:59 training: 7168 / 105000
20240728-23:04:07 training: 7424 / 105000
20240728-23:04:15 training: 7680 / 105000
20240728-23:04:23 training: 7936 / 105000
20240728-23:04:31 training: 8192 / 105000
20240728-23:04:39 training: 8448 / 105000
20240728-23:04:47 training: 8704 / 105000
20240728-23:04:56 training: 8960 / 105000
20240728-23:05:04 training: 9216 / 105000
20240728-23:05:12 training: 9472 / 105000
20240728-23:05:20 training: 9728 / 105000
20240728-23:05:28 training: 9984 / 105000
20240728-23:05:36 training: 10240 / 105000
20240728-23:05:44 training: 10496 / 105000
20240728-23:05:52 training: 10752 / 105000
20240728-23:06:00 training: 11008 / 105000
20240728-23:06:08 training: 11264 / 105000
20240728-23:06:16 training: 11520 / 105000
20240728-23:06:24 training: 11776 / 105000
20240728-23:06:32 training: 12032 / 105000
20240728-23:06:40 training: 12288 / 105000
20240728-23:06:49 training: 12544 / 105000
20240728-23:06:57 training: 12800 / 105000
20240728-23:07:05 training: 13056 / 105000
20240728-23:07:13 training: 13312 / 105000
20240728-23:07:21 training: 13568 / 105000
20240728-23:07:29 training: 13824 / 105000
20240728-23:07:37 training: 14080 / 105000
